id_customer,recency,frequency,monetary
2,216,1.0311,8026.24
5,2338,0.0438,96.42
11,773,0.2688,1364.72
13,2386,0.0440,112.33
14,316,0.0252,35.72
16,2862,0.0189,8.53
21,2568,0.0314,132.26
26,2063,0.1006,1679.00
27,304,1.9623,1738.01
28,2330,0.0943,216.09
29,1248,0.0063,30.87
31,2670,0.0063,17.43
35,277,0.0566,128.30
40,266,0.0566,148.97
46,887,0.1195,582.76
48,1515,0.0063,20.51
56,2580,0.0063,24.97
65,314,0.1139,884.81
76,1929,0.0886,1024.31
78,389,0.2025,956.98
81,111,0.2595,306.98
82,2376,0.0063,22.42
84,1619,0.0127,38.83
86,189,0.5506,514.07
93,1532,0.0506,183.41
98,294,0.0443,56.47
100,1731,0.0063,7.10
101,1306,0.0506,143.58
103,2397,0.0127,183.26
109,2182,0.0127,73.71
111,1913,0.0127,109.08
118,2109,0.0190,203.64
120,2092,0.0127,41.96
121,1502,0.0253,64.30
126,620,0.4937,932.20
128,2299,0.0063,27.71
130,1263,0.0063,9.41
141,2470,0.0318,97.83
147,1265,0.0701,224.94
150,648,0.0573,90.10
159,1296,0.2357,295.11
161,2348,0.0255,15.29
165,1355,0.0191,31.77
170,2033,0.0127,18.31
176,235,0.0255,109.85
177,540,0.0064,24.62
178,2571,0.0191,53.71
181,2786,0.0127,29.33
201,2546,0.0255,41.96
214,2275,0.0064,66.63
218,1985,0.0510,662.65
229,1120,0.0255,16.43
236,2233,0.0255,45.79
238,252,0.1083,269.93
245,222,0.2675,391.10
248,2797,0.0510,231.40
255,715,0.0255,78.27
256,2792,0.0127,39.92
257,129,0.0510,86.80
258,1533,0.0573,67.53
259,860,0.0127,27.73
260,263,0.0064,18.33
262,1134,0.0127,149.83
270,1543,0.0510,106.41
272,1993,0.0127,46.58
277,470,0.0064,28.35
286,487,0.0637,88.61
290,521,0.1019,288.07
293,1109,0.0255,115.20
299,2418,0.0382,227.29
302,272,0.1720,343.33
304,1464,0.0127,24.80
316,2098,0.0191,18.66
320,2068,0.0127,18.61
337,2670,0.0127,43.29
355,2825,0.0127,60.56
358,1355,0.0127,13.36
359,449,0.0191,18.71
370,1954,0.0128,23.75
372,1370,0.2051,537.72
386,2780,0.0577,132.87
389,848,0.0128,20.90
392,1388,0.0256,12.16
393,125,0.1923,431.65
396,1279,0.0513,185.47
400,2408,0.0256,42.40
405,2578,0.0128,108.59
416,117,0.6410,1557.43
425,140,0.8654,1135.58
430,1968,0.3205,1239.51
442,1019,0.0256,103.28
444,2224,0.0064,15.83
447,2056,0.0833,87.41
450,955,0.0769,151.79
461,2284,0.0064,49.99
469,966,0.0064,4.06
472,251,0.0128,9.76
474,170,2.2194,6739.89
481,754,0.0516,42.51
483,664,0.0774,98.07
492,509,0.6129,1741.32
511,2313,0.0645,120.66
514,1944,0.0194,22.35
522,1437,0.0065,18.68
529,1137,0.0645,207.12
534,2067,0.0516,131.38
546,227,0.0065,16.21
549,1671,0.2065,484.88
553,1572,0.1161,297.59
555,2610,0.0129,24.99
557,2214,0.0065,74.96
567,1499,0.0065,16.57
573,754,0.0325,48.40
577,1342,0.0260,14.36
579,389,0.0584,77.36
582,1847,0.0260,61.15
584,1135,0.0844,184.24
589,2389,0.0455,72.56
592,1581,0.0130,44.24
600,2627,0.0065,71.17
608,958,0.0195,73.27
612,1890,0.0584,93.67
615,2768,0.0195,48.78
620,936,0.0260,73.16
625,277,0.0390,86.71
627,2451,0.0455,116.93
633,1152,0.6169,1259.56
634,2014,0.0130,19.00
638,744,0.1039,236.28
657,2818,0.0260,185.29
660,1111,0.0195,13.63
672,1259,0.0584,251.37
673,601,0.0779,141.02
684,2032,0.0779,167.73
695,1856,0.0974,180.56
698,473,0.6234,413.56
703,160,0.0455,73.39
707,264,0.0714,117.71
709,2450,0.1169,323.22
710,127,0.9351,2035.66
714,2797,0.0325,50.44
715,853,0.0130,9.56
717,801,0.2468,420.29
723,2484,0.0065,12.49
725,830,0.0649,112.69
736,895,0.1623,266.40
737,918,0.1429,231.69
741,1673,0.0455,14.10
742,2295,0.0584,182.05
744,2275,0.0065,74.93
746,578,0.0455,83.70
752,722,0.0458,88.61
755,602,0.0261,282.11
758,1185,0.0523,127.76
765,2588,0.0131,20.58
777,167,0.1438,362.05
780,395,0.0131,14.66
784,2314,0.1046,204.11
803,2471,0.0588,177.47
807,2288,0.1765,510.62
810,1592,0.0392,133.17
824,460,0.0065,42.49
826,114,0.0784,139.00
834,1990,0.0523,123.71
839,1394,0.0196,24.99
840,2797,0.0196,42.32
853,160,0.1634,1461.33
862,1525,0.0131,20.97
864,1513,0.0850,117.75
868,447,0.0065,23.31
869,1998,0.0261,169.69
870,2752,0.1569,340.82
871,197,0.0588,122.86
878,2051,0.0392,167.74
885,580,0.3399,573.01
897,245,0.1373,186.74
905,2666,0.0131,52.25
907,1007,0.0588,194.75
916,2354,0.0261,95.73
932,800,0.1307,204.89
935,424,0.1242,124.26
936,1420,0.0131,8.20
945,2411,0.0327,70.47
949,1791,0.0458,140.33
962,884,0.8431,1810.29
965,854,0.2418,397.68
967,494,0.1830,283.16
969,2069,0.0458,79.02
975,661,0.0719,99.29
990,520,0.1503,441.81
994,1113,0.1438,247.57
1011,806,0.0131,14.36
1013,2274,0.0066,373.50
1028,2627,0.0132,16.35
1033,668,0.0066,45.25
1040,910,0.0263,52.12
1044,112,0.1250,169.45
1053,984,0.1776,346.67
1058,263,0.1579,280.95
1067,1918,0.0526,109.70
1095,810,0.1250,232.28
1106,2239,0.0132,34.54
